"ChEMBL ID;    ""Name"";""Synonyms"";""Type"";""Max Phase"";""Molecular Weight"";""Targets"";""Bioactivities"";""AlogP"";""Polar Surface Area"";""HBA"";""HBD"";""#RO5 Violations"";""#Rotatable Bonds"";""Passes Ro3"";""QED Weighted"";""CX Acidic pKa"";""CX Basic pKa"";""CX LogP"";""CX LogD"";""Aromatic Rings"";""Structure Type"";""Inorganic Flag"";""Heavy Atoms"";""HBA (Lipinski)"";""HBD (Lipinski)"";""#RO5 Violations (Lipinski)"";""Molecular Weight (Monoisotopic)"";""Np Likeness Score"";""Molecular Species"";""Molecular Formula"";""Smiles"";""Inchi Key""",,,,,,,,,,,,,
"CHEMBL1256994;""CITICOLINE SODIUM"";""CDP-CHOLIN|CITICOLINE|CITICOLINE SODIUM|CITICOLINE SODIUM SALT|CerAxon|IP 302 SODIUM|IP-302 SODIUM"";""Small molecule"";""3.0"";""510.31"";""5"";""5"";""-2.23"";""215.72"";""13"";""4"";""1"";""10"";""N"";""0.20"";""1.84"";""None"";""-7.11"";""-7.45"";""1"";""MOL"";""0"";""31"";""15"";""5"";""1"";""488.1073"";""1.37"";""ACID"";""C14H25N4NaO11P2"";""C[N+](C)(C)CCOP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O.[Na+]"";""YWAFNFGRBBBSPD-OCMLZEEQSA-M""",,,,,,,,,,,,,
"CHEMBL1102;""GLUTETHIMIDE"";""Doriden|ELRODORM|GLUTETHIMIDE|Glutethimide|NOXYRON|NSC-95239|RIGENOX|SARODORMIN"";""Small molecule"";""4.0"";""217.27"";""28"";""46"";""1.77"";""46.17"";""2"";""1"";""0"";""2"";""Y"";""0.77"";""11.69"";""None"";""2.13"";""2.13"";""1"";""MOL"";""0"";""16"";""3"";""1"";""0"";""217.1103"";""0.02"";""NEUTRAL"";""C13H15NO2"";""CCC1(c2ccccc2)CCC(=O)NC1=O"";""JMBQKKAJIKAWKF-UHFFFAOYSA-N""",,,,,,,,,,,,,
"CHEMBL1073;""GLIPIZIDE"";""CP-28","720|CP-28720|GLIBENESE|GLIPIZIDE|GLIPIZIDE SLOW RELEASE|GLUCOTROL XL|Glucotrol|K 4024|K-4024|MINODIAB 2.5|MINODIAB 5|NSC-759120"";""Small molecule"";""4.0"";""445.55"";""150"";""848"";""2.08"";""130.15"";""6"";""3"";""0"";""7"";""N"";""0.60"";""4.32"";""0.06"";""1.43"";""0.49"";""2"";""MOL"";""0"";""31"";""9"";""3"";""0"";""445.1784"";""-1.31"";""ACID"";""C21H27N5O4S"";""Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1"";""ZJJXGWJIGJFDTL-UHFFFAOYSA-N""",,,,,,,,,,,,
"CHEMBL3304486;""DIFEMERINE"";""DIFEMERINE"";""Small molecule"";""4.0"";""327.42"";"""";"""";""2.81"";""49.77"";""4"";""1"";""0"";""6"";""N"";""0.83"";""11.05"";""8.90"";""3.42"";""1.91"";""2"";""MOL"";""0"";""24"";""4"";""1"";""0"";""327.1834"";""-0.37"";""BASE"";""C20H25NO3"";""CN(C)CC(C)(C)OC(=O)C(O)(c1ccccc1)c1ccccc1"";""WJIZVQNUJVMJAZ-UHFFFAOYSA-N""",,,,,,,,,,,,,
"CHEMBL12208;""HYMECROMONE"";""4-METHYLUMBELLIFERONE|Cantabiline|HYMECROMONE|LM-94|NSC-19026|NSC-9408"";""Small molecule"";""2.0"";""176.17"";""143"";""275"";""1.81"";""50.44"";""3"";""1"";""0"";""0"";""Y"";""0.62"";""7.80"";""None"";""1.78"";""1.63"";""2"";""MOL"";""0"";""13"";""3"";""1"";""0"";""176.0473"";""0.43"";""NEUTRAL"";""C10H8O3"";""Cc1cc(=O)oc2cc(O)ccc12"";""HSHNITRMYYLLCV-UHFFFAOYSA-N""",,,,,,,,,,,,,
"CHEMBL1230762;""ACETOACETIC ACID"";"""";""Small molecule"";""-1.0"";""102.09"";""3"";""4"";""0.05"";""54.37"";""2"";""1"";""0"";""2"";""Y"";""0.50"";""4.02"";""None"";""0.00"";""-3.15"";""0"";""MOL"";""0"";""7"";""3"";""1"";""0"";""102.0317"";""0.90"";""ACID"";""C4H6O3"";""CC(=O)CC(=O)O"";""WDJHALXBUFZDSR-UHFFFAOYSA-N""",,,,,,,,,,,,,
"CHEMBL1618102;""BUTYLSCOPOLAMINE"";""BUTYLSCOPOLAMINE|N-BUTYLSCOPOLAMMONIUM|N-BUTYLSCOPOLAMMONIUM CATION|N-BUTYLSCOPOLAMMONIUM ION"";""Small molecule"";""4.0"";""360.47"";""1"";""2"";""2.23"";""59.06"";""4"";""1"";""0"";""7"";""N"";""0.46"";""None"";""None"";""-1.94"";""-1.94"";""1"";""MOL"";""0"";""26"";""5"";""1"";""0"";""360.2169"";""1.00"";""NEUTRAL"";""C21H30NO4+"";""CCCC[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12"";""YBCNXCRZPWQOBR-WVHCHWADSA-N""",,,,,,,,,,,,,
"CHEMBL1725880;""TREPIBUTONE"";""SUPACAL|TREPIBUTONE"";""Small molecule"";""-1.0"";""310.35"";""7"";""13"";""2.93"";""82.06"";""5"";""1"";""0"";""10"";""N"";""0.67"";""3.45"";""None"";""1.95"";""-1.44"";""1"";""MOL"";""0"";""22"";""6"";""1"";""0"";""310.1416"";""-0.23"";""ACID"";""C16H22O6"";""CCOc1cc(OCC)c(C(=O)CCC(=O)O)cc1OCC"";""YPTFHLJNWSJXKG-UHFFFAOYSA-N""",,,,,,,,,,,,,
"CHEMBL2048484;""CANAGLIFLOZIN"";""CANAGLIFLOZIN|JNJ-24831754-ZAE|JNJ-28431754|JNJ-28431754-AAA|TA-7284"";""Small molecule"";""4.0"";""444.52"";""8"";""27"";""2.97"";""90.15"";""6"";""4"";""0"";""5"";""N"";""0.49"";""12.57"";""None"";""3.52"";""3.52"";""3"";""MOL"";""0"";""31"";""5"";""4"";""0"";""444.1407"";""0.27"";""NEUTRAL"";""C24H25FO5S"";""Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)s1"";""XTNGUQKDFGDXSJ-ZXGKGEBGSA-N""",,,,,,,,,,,,,
"CHEMBL23771;""TIXANOX"";""RS-7337|TIXANOX|TIXANOXUM|Tixanox"";""Small molecule"";""-1.0"";""302.31"";""2"";""4"";""2.38"";""90.57"";""4"";""1"";""0"";""2"";""N"";""0.58"";""4.14"";""None"";""1.35"";""-1.72"";""3"";""MOL"";""0"";""21"";""5"";""1"";""0"";""302.0249"";""0.24"";""ACID"";""C15H10O5S"";""C[S+]([O-])c1ccc2oc3ccc(C(=O)O)cc3c(=O)c2c1"";""PCVFKIXSNYJABV-UHFFFAOYSA-N""",,,,,,,,,,,,,
"CHEMBL1165411;""DEXOXADROL"";""DEXOXADROL|Dexoxadrol|Dioxadrol"";""Small molecule"";""-1.0"";""309.41"";""8"";""37"";""3.45"";""30.49"";""3"";""1"";""0"";""3"";""N"";""0.94"";""None"";""9.68"";""4.52"";""2.28"";""2"";""MOL"";""0"";""23"";""3"";""1"";""0"";""309.1729"";""0.69"";""BASE"";""C20H23NO2"";""c1ccc(C2(c3ccccc3)OC[C@H]([C@@H]3CCCCN3)O2)cc1"";""HGKAMARNFGKMLC-RBUKOAKNSA-N""",,,,,,,,,,,,,
"CHEMBL227634;""[11C]EPINEPHRINE"";""[11C]-Epinephrine"";""Small molecule"";"""";""182.21"";""7"";""7"";""0.35"";""72.72"";""4"";""4"";""0"";""3"";""N"";""0.51"";""9.69"";""8.91"";""-0.43"";""-1.63"";""1"";""MOL"";""-1"";""13"";""4"";""4"";""0"";""183.0895"";""1.12"";""BASE"";""C9H13NO3"";""[11CH3]NC[C@H](O)c1ccc(O)c(O)c1"";""UCTWMZQNUQWSLP-UTDSSMFPSA-N""",,,,,,,,,,,,,
"CHEMBL550;""PILOCARPINE"";""OCUCARPINE|OCUSERT PILO-20|OCUSERT PILO-40|Ocusert Pilo|PILOCARPINE|PILOCARPINUM|PILOCARPOL|PILOKARPIN|SPERSACARPINE|SYNCARPINE"";""Small molecule"";""4.0"";""208.26"";""29"";""160"";""1.16"";""44.12"";""4"";""0"";""0"";""3"";""N"";""0.70"";""None"";""6.37"";""0.95"";""0.92"";""1"";""MOL"";""0"";""15"";""4"";""0"";""0"";""208.1212"";""1.25"";""NEUTRAL"";""C11H16N2O2"";""CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C"";""QCHFTSOMWOSFHM-WPRPVWTQSA-N""",,,,,,,,,,,,,
"CHEMBL465;""DRONABINOL"";"".DELTA.-9-TETRAHYDROCANNABINOL|.DELTA.1-THC|.DELTA.9-TETRAHYDROCANNABINOL|.DELTA.9-THC|ABBOTT 40566|ABBOTT-40566|DELTA-9-TETRAHYDROCANNABINOL|DELTA-9-THC|DRONABINOL|J882F|Marinol|NSC-134454|QCD 84924|QCD-84924|SP 104|SP-104|SYNDROS|TETRAHYDROCANNABINOL|TETRAHYDROCANNABINOLS (-)-TRANS-.DELTA.9-FORM"";""Small molecule"";""4.0"";""314.47"";""50"";""404"";""5.74"";""29.46"";""2"";""1"";""1"";""4"";""N"";""0.57"";""9.34"";""None"";""5.94"";""5.94"";""1"";""MOL"";""0"";""23"";""2"";""1"";""1"";""314.2246"";""2.31"";""NEUTRAL"";""C21H30O2"";""CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21"";""CYQFCXCEBYINGO-IAGOWNOFSA-N""",,,,,,,,,,,,,
"CHEMBL1760;""TERBUTALINE"";""ASTHMASIAN|Brethaire|Brethine|Bricanyl|TERBUTALIN|TERBUTALINE|Terbutaline"";""Small molecule"";""4.0"";""225.29"";""146"";""643"";""1.52"";""72.72"";""4"";""4"";""0"";""3"";""N"";""0.63"";""8.86"";""9.76"";""0.44"";""-0.73"";""1"";""MOL"";""0"";""16"";""4"";""4"";""0"";""225.1365"";""0.52"";""BASE"";""C12H19NO3"";""CC(C)(C)NCC(O)c1cc(O)cc(O)c1"";""XWTYSIMOBUGWOL-UHFFFAOYSA-N""",,,,,,,,,,,,,
"CHEMBL2110849;""DIISOPROMINE"";""DIISOPROMINE|DISOPROMINE|R-253"";""Small molecule"";""-1.0"";""295.47"";""1"";""2"";""5.33"";""3.24"";""1"";""0"";""1"";""7"";""N"";""0.67"";""None"";""10.74"";""5.62"";""2.50"";""2"";""MOL"";""0"";""22"";""1"";""0"";""1"";""295.2300"";""-0.55"";""BASE"";""C21H29N"";""CC(C)N(CCC(c1ccccc1)c1ccccc1)C(C)C"";""YBJKOPHEJOMRMN-UHFFFAOYSA-N""",,,,,,,,,,,,,
"CHEMBL53463;""DOXORUBICIN"";""ADRIABLASTIN|Adriamycin|Adriblastina|DOXORUBICIN|Doxil|Doxorubicin|EPIRUBICIN HYDROCHLORIDE IMPURITY", DOXORUBICIN-|HYDROXYDAUNORUBICIN|NSC-123127|NSC-759155|Rubex|VALRUBICIN IMPURITY," DOXORUBICIN"";""Small molecule"";""4.0"";""543.53"";""1149"";""13693"";""0.00"";""206.07"";""12"";""6"";""3"";""5"";""N"";""0.24"";""8.00"";""9.03"";""0.53"";""0.10"";""2"";""MOL"";""0"";""39"";""12"";""7"";""3"";""543.1741"";""1.81"";""BASE"";""C27H29NO11"";""COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1"";""AOJJSUZBOXZQNB-TZSSRYMLSA-N""",,,,,,,,,,,
"CHEMBL1200384;""BETAMETHASONE DIPROPIONATE"";""Alphatrex|BETAMETHASONE (AS DIPROPIONATE)|BETAMETHASONE 17","21-DIPROPIONATE|BETAMETHASONE DIPROPIONATE|DIPROLENE AF|DIPROSPAN|Diprolene|Diprosone|MAXIVATE|NSC-758415|RINDERON DP|SCH 11460|SCH-11460|SERNIVO"";""Small molecule"";""4.0"";""504.60"";""13"";""59"";""3.82"";""106.97"";""7"";""1"";""1"";""6"";""N"";""0.55"";""13.61"";""None"";""3.96"";""3.96"";""0"";""MOL"";""0"";""36"";""7"";""1"";""1"";""504.2523"";""1.75"";""NEUTRAL"";""C28H37FO7"";""CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C"";""CIWBQSYVNNPZIQ-XYWKZLDCSA-N""",,,,,,,,,,,,
"CHEMBL1089318;""OPICAPONE"";""BIA 9-1067|BIA-9-1067|BIA-91067|ONGENTYS|OPICAPONE|Opicapone"";""Small molecule"";""4.0"";""413.17"";""7"";""28"";""3.28"";""149.46"";""8"";""2"";""0"";""3"";""N"";""0.17"";""6.12"";""None"";""3.05"";""1.79"";""3"";""MOL"";""0"";""27"";""10"";""2"";""0"";""411.9977"";""-0.74"";""ACID"";""C15H10Cl2N4O6"";""Cc1c(Cl)c(C)[n+]([O-])c(Cl)c1-c1noc(-c2cc(O)c(O)c([N+](=O)[O-])c2)n1"";""ASOADIZOVZTJSR-UHFFFAOYSA-N""",,,,,,,,,,,,,
"CHEMBL716;""QUETIAPINE"";""ATROLAK XL|BIQUELLE XL|BRANCICO XL|EBESQUE XL|MINTRELEQ XL|NORSIC|NSC-758918|PSYQUET XL|QUETIAPINE|QUETIAPINE EXTENDED RELEASE|Quetiapine|SEOTIAPIM XL|SEROQUEL|SEROQUEL XL|SONDATE XL|TENPROLIDE XL|ZALURON XL"";""Small molecule"";""4.0"";""383.52"";""156"";""773"";""2.86"";""48.30"";""6"";""1"";""0"";""5"";""N"";""0.80"";""None"";""7.06"";""2.81"";""2.64"";""2"";""MOL"";""0"";""27"";""5"";""1"";""0"";""383.1667"";""-0.87"";""NEUTRAL"";""C21H25N3O2S"";""OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1"";""URKOMYMAXPYINW-UHFFFAOYSA-N""",,,,,,,,,,,,,
"CHEMBL660;""AMANTADINE"";""AMANTADINE|AMANTIDINE|Amantadine|NSC-341865|Symadine|Symmetrel|TCMDC-125869"";""Small molecule"";""4.0"";""151.25"";""182"";""1378"";""1.91"";""26.02"";""1"";""1"";""0"";""0"";""Y"";""0.56"";""None"";""10.71"";""1.47"";""-1.38"";""0"";""MOL"";""0"";""11"";""1"";""2"";""0"";""151.1361"";""0.55"";""BASE"";""C10H17N"";""NC12CC3CC(CC(C3)C1)C2"";""DKNWSYNQZKUICI-UHFFFAOYSA-N""",,,,,,,,,,,,,
"CHEMBL659;""GALANTAMINE"";""(-)-GALANTAMINE|(-)-GALANTHAMINE|ACUMOR XL|CONSION XL|ELMINO XL|GALANTAMINE|GALANTHAMINE|GALSYA XL|GALZEMIC XL|GATALIN XL|GAZYLAN XL|Galantamine|LOTPROSIN XL|LUVENTA XL|NSC-100058|REMINYL XL|Razadyne|Reminyl|ZEEBRAL XL"";""Small molecule"";""4.0"";""287.36"";""165"";""1429"";""1.85"";""41.93"";""4"";""1"";""0"";""1"";""N"";""0.80"";""None"";""8.58"";""1.16"";""-0.04"";""1"";""MOL"";""0"";""21"";""4"";""1"";""0"";""287.1521"";""2.11"";""BASE"";""C17H21NO3"";""COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2"";""ASUTZQLVASHGKV-JDFRZJQESA-N""",,,,,,,,,,,,,
"CHEMBL245807;""OXYPHENISATINE"";""ISAPHEN|NSC-59814|OXYPHENISATIN|OXYPHENISATINE"";""Small molecule"";""4.0"";""317.34"";""14"";""46"";""3.38"";""69.56"";""3"";""3"";""0"";""2"";""N"";""0.68"";""9.18"";""None"";""3.83"";""3.82"";""3"";""MOL"";""0"";""24"";""4"";""3"";""0"";""317.1052"";""0.16"";""NEUTRAL"";""C20H15NO3"";""O=C1Nc2ccccc2C1(c1ccc(O)cc1)c1ccc(O)cc1"";""SJDACOMXKWHBOW-UHFFFAOYSA-N""",,,,,,,,,,,,,
"CHEMBL710;""FINASTERIDE"";""AINDEEM|FINASTERIDE|MK-906|NSC-741485|NSC-759318|PROSTIDE|Propecia|Proscar"";""Small molecule"";""4.0"";""372.55"";""160"";""1182"";""3.81"";""58.20"";""2"";""2"";""0"";""1"";""N"";""0.74"";""None"";""0.33"";""3.07"";""3.07"";""0"";""MOL"";""0"";""27"";""4"";""2"";""0"";""372.2777"";""1.84"";""NEUTRAL"";""C23H36N2O2"";""CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C"";""DBEPLOCGEIEOCV-WSBQPABSSA-N""",,,,,,,,,,,,,
"CHEMBL19449;""IBUDILAST"";""AV-411|AV411|IBUDILAST|KETAS|MN-166"";""Small molecule"";""3.0"";""230.31"";""33"";""78"";""3.30"";""34.37"";""3"";""0"";""0"";""3"";""N"";""0.76"";""None"";""1.85"";""3.68"";""3.68"";""2"";""MOL"";""0"";""17"";""3"";""0"";""0"";""230.1419"";""-0.71"";""NEUTRAL"";""C14H18N2O"";""CC(C)C(=O)c1c(C(C)C)nn2ccccc12"";""ZJVFLBOZORBYFE-UHFFFAOYSA-N""",,,,,,,,,,,,,
"CHEMBL193;""NIFEDIPINE"";""ADALAT A.R.|ADALAT CC|ADALAT IC|ADALAT LA 20|ADALAT LA 30|ADALAT LA 60|ADALAT RET|ADALATE LP|ADANIF XL|ADIPINE MR 10|ADIPINE MR 20|ADIPINE XL|AFEDITAB CR|ANGIOPINE 10|ANGIOPINE 40 LA|ANGIOPINE 5|ANGIOPINE MR 10|ANGIOPINE MR 20|Adalat|BAY A 1040|BAY-A-1040|CALANIF|CALCHAN MR 10|CALCHAN MR 20|CALCILAT|CARDILATE MR|CORACTEN|CORACTEN SR|CORACTEN XL|CORODAY MR|FORTIPINE LA40|GENALAT 10 RET|GENALAT 20 RET|HYPOLAR RET 10|HYPOLAR RET 20|HYPOLAR XL 30|KENTIPINE|KENTIPINE MR 10|KENTIPINE MR 20|NEOZIPINE XL|NIFE-WOLFF|NIFEDIPINE|NIFEDIPINE HYDROCHLORIDE|NIFEDIPINE SLOW RELEASE|NIFEDIPINUM|NIFEDIPRESS MR 10|NIFEDIPRESS MR 20|NIFEDOTARD 20 MR|NIFELEASE|NIFENSAR XL|NIFOPRESS MR|NIFOPRESS RET|NIMODREL MR 10|NIMODREL MR 20|NIMODREL XL|NIVATEN RET|NSC-757242|PROCARDIA XL|Procardia|SLOFEDIPINE XL 30|SLOFEDIPINE XL 60|TENSIPINE MR 10|TENSIPINE MR 20|UNIPINE XL|VALNI 20 RET|VALNI XL|VASAD"";""Small molecule"";""4.0"";""346.34"";""287"";""3198"";""2.18"";""107.77"";""7"";""1"";""0"";""4"";""N"";""0.51"";""None"";""None"";""1.82"";""1.82"";""1"";""MOL"";""0"";""25"";""8"";""1"";""0"";""346.1165"";""-0.72"";""NEUTRAL"";""C17H18N2O6"";""COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]"";""HYIMSNHJOBLJNT-UHFFFAOYSA-N""",,,,,,,,,,,,,
"CHEMBL521589;""BAMBUTEROL"";""BAMBUTEROL"";""Small molecule"";""3.0"";""367.45"";""139"";""386"";""2.23"";""91.34"";""6"";""2"";""0"";""5"";""N"";""0.83"";""13.91"";""9.52"";""1.40"";""-0.70"";""1"";""MOL"";""0"";""26"";""8"";""2"";""0"";""367.2107"";""-0.24"";""BASE"";""C18H29N3O5"";""CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)CNC(C)(C)C)c1"";""ANZXOIAKUNOVQU-UHFFFAOYSA-N""",,,,,,,,,,,,,
"CHEMBL2103867;""PLECANATIDE"";""GUANILIB|PLECANATIDE|SP-304|SP-304 (SYNERGY)|TRULANCE"";""Protein"";""4.0"";""1681.91"";""2"";""6"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""BOTH"";""0"";""None"";""None"";""None"";""None"";""1680.6252"";""None"";""None"";""C65H104N18O26S4"";""CC(C)C[C@H](NC(=O)[C@@H]1CSSC[C@@H]2NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](N)CC(N)=O)CSSC[C@H](NC(=O)[C@H](C)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](C(C)C)NC2=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)NCC(=O)N1)C(=O)O"";""NSPHQWLKCGGCQR-DLJDZFDSSA-N""",,,,,,,,,,,,,
"CHEMBL460026;""ICOSAPENT"";""ALL-CIS-FATTY ACID 20:5 OMEGA-3|C20:5 (N-3)|EICOSAPENTAENOATE|EICOSAPENTAENOIC ACID|EICOSAPENTAENOIC ACID (C20:5 N3)|EPA 45G|ICOSAPENT|INCROMEGA E 7010SR|OMEGA-3 MARINE TRIGLYCERIDES|ROPUFA 70|TIMNODONIC ACID"";""Small molecule"";""3.0"";""302.46"";""33"";""54"";""5.99"";""37.30"";""1"";""1"";""1"";""13"";""N"";""0.33"";""4.82"";""None"";""6.23"";""3.69"";""0"";""MOL"";""0"";""22"";""2"";""1"";""1"";""302.2246"";""1.12"";""ACID"";""C20H30O2"";""CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O"";""JAZBEHYOTPTENJ-JLNKQSITSA-N""",,,,,,,,,,,,,
"CHEMBL1237055;""HYDROMORPHONE HYDROCHLORIDE"";""DIHYDROMORPHINONE HYDROCHLORIDE|DILAUDID-HP|Dilaudid|EXALGO|HYDROMORPHONE HCL|HYDROMORPHONE HYDROCHLORIDE|HYDROMORPHONE HYDROCHLORIDE CII|Hydromorphone Hydrochloride|NSC-117862|PALLADONE|PALLADONE-SR"";""Small molecule"";""4.0"";""321.80"";""2"";""10"";""1.63"";""49.77"";""4"";""1"";""0"";""0"";""N"";""0.79"";""10.11"";""8.59"";""1.62"";""0.58"";""1"";""MOL"";""0"";""21"";""4"";""1"";""0"";""285.1365"";""2.07"";""BASE"";""C17H20ClNO3"";""CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5.Cl"";""XHILEZUETWRSHC-NRGUFEMZSA-N""",,,,,,,,,,,,,
"CHEMBL135400;""ZOPICLONE"";""AMOBAN|IMOVANE|NSC-758463|RP 27267|RP-27267|ZILEZE 3.75|ZILEZE 7.5|ZIMOVANE|ZIMOVANE LS|ZOPICLONE"";""Small molecule"";""4.0"";""388.82"";""38"";""562"";""1.57"";""91.76"";""7"";""0"";""0"";""2"";""N"";""0.77"";""8.04"";""6.86"";""0.52"";""0.59"";""2"";""MOL"";""0"";""27"";""9"";""0"";""0"";""388.1051"";""-0.99"";""NEUTRAL"";""C17H17ClN6O3"";""CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1"";""GBBSUAFBMRNDJC-UHFFFAOYSA-N""",,,,,,,,,,,,,
"CHEMBL953;""ENTACAPONE"";""COMTESS|Comtan|ENTACAPONE|ENTACAPONE ORION|ENTACAPONE TEVA|OR-611"";""Small molecule"";""4.0"";""305.29"";""49"";""224"";""1.78"";""127.70"";""6"";""2"";""0"";""5"";""N"";""0.28"";""6.09"";""None"";""1.63"";""0.38"";""1"";""MOL"";""0"";""22"";""8"";""2"";""0"";""305.1012"";""-0.89"";""ACID"";""C14H15N3O5"";""CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1"";""JRURYQJSLYLRLN-BJMVGYQFSA-N""",,,,,,,,,,,,,
"CHEMBL181;""DIAZOXIDE"";""DIAZOXIDE|DIAZOXIDUM|EUDEMINE|EUDEMINE INJECTION|Eudimine|HYPERSTAT|HYPERTONALUM|Mutabase|NSC-64198|NSC-76130|Proglycem|SCH 6783|SCH-6783|SRG 95213|SRG-95213"";""Small molecule"";""4.0"";""230.68"";""177"";""611"";""1.68"";""58.53"";""3"";""1"";""0"";""0"";""Y"";""0.74"";""6.66"";""0.92"";""1.13"";""0.53"";""1"";""MOL"";""0"";""14"";""4"";""1"";""0"";""229.9917"";""-1.38"";""NEUTRAL"";""C8H7ClN2O2S"";""CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1"";""GDLBFKVLRPITMI-UHFFFAOYSA-N""",,,,,,,,,,,,,
"CHEMBL692;""GLYCERIN"";""E-422|E422|FEMA NO. 2525|GLYCERIN|GLYCERIN","ANHYDROUS|GLYCERINUM|GLYCEROL|GLYCEROL 85%|GLYCEROLUM|GLYCOGELATIN|Glycerin|Glycerol|INS NO.422|INS-422|KEYBELLS|M 314429|MONOCTANOIN COMPONENT D|Monoctanoin Component D|NIROLEX|NSC-9230|Ophthalgan|Optim|Osmoglyn|PZN 7474853|SENOKOT DIRECT RELIEF|TIXYLIX BABY|TIXYLIX TODDLER|TRYHYDROXYPROPANE|WATERHOUSE"";""Small molecule"";""4.0"";""92.09"";""16"";""22"";""-1.67"";""60.69"";""3"";""3"";""0"";""2"";""N"";""0.38"";""13.61"";""None"";""-1.84"";""-1.84"";""0"";""MOL"";""0"";""6"";""3"";""3"";""0"";""92.0473"";""1.06"";""NEUTRAL"";""C3H8O3"";""OCC(O)CO"";""PEDCQBHIVMGVHV-UHFFFAOYSA-N""",,,,,,,,,,,,
"CHEMBL1561;""MIGLITOL"";""BAY M 1099|BAY-M-1099|Diastabol|Glyset|MIGLITOL|NSC-758702"";""Small molecule"";""4.0"";""207.23"";""44"";""181"";""-3.26"";""104.39"";""6"";""5"";""0"";""3"";""N"";""0.33"";""12.90"";""7.60"";""-3.19"";""-3.60"";""0"";""MOL"";""0"";""14"";""6"";""5"";""0"";""207.1107"";""1.65"";""NEUTRAL"";""C8H17NO5"";""OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO"";""IBAQFPQHRJAVAV-ULAWRXDQSA-N""",,,,,,,,,,,,,
"CHEMBL773;""GLYCINE"";""AMINOACETIC ACID|FEMA NO. 3287|GLYCINE|GLYCOCOLL|Glycine|Glycolixir|NSC-25936"";""Small molecule"";""4.0"";""75.07"";""142"";""590"";""-0.97"";""63.32"";""2"";""2"";""0"";""1"";""N"";""0.42"";""2.31"";""9.24"";""-3.41"";""-3.42"";""0"";""MOL"";""0"";""5"";""3"";""3"";""0"";""75.0320"";""0.45"";""ZWITTERION"";""C2H5NO2"";""NCC(=O)O"";""DHMQDGOQFOQNFH-UHFFFAOYSA-N""",,,,,,,,,,,,,
"CHEMBL580;""LORAZEPAM"";""ABBLORAZ|Ativan|LORAZ|LORAZEPAM|LORAZEPAM CIV|LORAZEPAM INTENSOL|LORAZEPAM PRESERVATIVE FREE|LOREEV XR|NSC-289758|TEMESTA|WY-4036"";""Small molecule"";""4.0"";""321.16"";""154"";""1043"";""3.10"";""61.69"";""3"";""2"";""0"";""1"";""N"";""0.85"";""10.61"";""None"";""3.53"";""3.53"";""2"";""MOL"";""0"";""21"";""4"";""2"";""0"";""320.0119"";""-0.37"";""NEUTRAL"";""C15H10Cl2N2O2"";""O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O"";""DIWRORZWFLOCLC-UHFFFAOYSA-N""",,,,,,,,,,,,,
